month,revenue_inr,units
2023-09-01,104000,416
2023-10-01,116000,464
2023-11-01,116000,464
2023-12-01,112000,448
2024-01-01,104000,416
2024-02-01,104000,416
2024-03-01,120000,480
2024-04-01,116000,464
2024-05-01,114000,456
2024-06-01,110000,440
2024-07-01,110000,440
2024-08-01,116000,464
2024-09-01,128000,512
2024-10-01,140000,560
2024-11-01,140000,560
2024-12-01,136000,544
2025-01-01,128000,512
2025-02-01,128000,512
2025-03-01,144000,576
2025-04-01,140000,560
2025-05-01,138000,552
2025-06-01,134000,536
2025-07-01,134000,536
2025-08-01,140000,560
2025-09-01,152000,608
2025-10-01,164000,656
2025-11-01,164000,656
2025-12-01,160000,640
2026-01-01,152000,608
2026-02-01,152000,608
2026-03-01,168000,672
2026-04-01,164000,656
2026-05-01,162000,648
2026-06-01,158000,632
2026-07-01,158000,632
2026-08-01,164000,656
